Time,State,CPU_Pct,GPU_Pct,cmd_vel_x,cmd_vel_z
0.63,IDLE,58.6,0.0,0.0000,0.0000
1.13,IDLE,67.8,0.0,0.0000,0.0000
1.63,IDLE,61.6,0.0,0.0000,0.0000
2.13,IDLE,59.2,0.0,0.0000,0.0000
2.63,IDLE,60.2,0.0,0.0000,0.0000
3.13,IDLE,62.1,0.0,0.0000,0.0000
3.63,IDLE,66.6,0.0,0.0000,0.0000
4.13,IDLE,58.2,0.0,0.0000,0.0000
4.63,IDLE,61.9,0.0,0.0000,0.0000
5.13,IDLE,62.4,0.0,0.0000,0.0000
5.63,IDLE,59.7,0.0,0.0000,0.0000
6.13,IDLE,59.6,0.0,0.0000,0.0000
6.63,IDLE,59.4,0.0,0.0000,0.0000
7.13,IDLE,57.8,0.0,0.0000,0.0000
7.63,IDLE,59.6,0.0,0.0000,0.0000
8.13,IDLE,58.3,0.0,0.0000,0.0000
8.63,IDLE,60.1,0.0,0.0000,0.0000
9.13,IDLE,58.7,0.0,0.0000,0.0000
9.63,IDLE,60.4,0.0,0.0000,0.0000
10.13,IDLE,56.7,0.0,0.0000,0.0000
10.63,IDLE,58.0,0.0,0.0000,0.0000
11.13,IDLE,56.7,0.0,0.0000,0.0000
11.63,IDLE,63.4,0.0,0.0000,0.0000
12.13,IDLE,54.5,0.0,0.0000,0.0000
12.63,IDLE,60.9,0.0,0.0000,0.0000
13.13,IDLE,55.4,0.0,0.0000,0.0000
13.63,IDLE,59.7,0.0,0.0000,0.0000
14.13,IDLE,55.2,0.0,0.0000,0.0000
14.63,IDLE,58.2,0.0,0.0000,0.0000
15.13,IDLE,59.6,0.0,0.0000,0.0000
15.63,IDLE,60.3,0.0,0.0000,0.0000
16.13,IDLE,56.7,0.0,0.0000,0.0000
16.63,IDLE,58.4,0.0,0.0000,0.0000
17.13,IDLE,55.3,0.0,0.0000,0.0000
17.63,IDLE,61.2,0.0,0.0000,0.0000
18.13,IDLE,58.5,0.0,0.0000,0.0000
18.63,IDLE,56.3,0.0,0.0000,0.0000
19.13,IDLE,59.4,0.0,0.0000,0.0000
19.63,IDLE,62.8,0.0,0.0000,0.0000
20.13,IDLE,58.1,0.0,0.0000,0.0000
20.63,IDLE,57.2,0.0,0.0000,0.0000
21.13,IDLE,55.8,0.0,0.0000,0.0000
21.63,IDLE,57.8,0.0,0.0000,0.0000
22.13,IDLE,58.2,0.0,0.0000,0.0000
22.63,IDLE,54.5,0.0,0.0000,0.0000
23.13,IDLE,57.6,0.0,0.0000,0.0000
23.63,IDLE,61.7,0.0,0.0000,0.0000
24.13,IDLE,58.8,0.0,0.0000,0.0000
24.63,IDLE,59.8,0.0,0.3000,0.0000
25.13,IDLE,61.1,0.0,0.3000,0.0000
25.63,IDLE,61.0,0.0,0.3000,2.3915
26.13,IDLE,55.4,0.0,0.3000,2.3915
26.63,IDLE,62.0,0.0,0.0000,0.0000
27.13,IDLE,61.5,0.0,0.0000,0.0000
27.63,IDLE,64.7,0.0,0.0000,0.0000
28.13,IDLE,61.6,0.0,0.0000,0.0000
28.63,IDLE,63.7,0.0,0.0000,0.0000
29.13,IDLE,63.1,0.0,0.0000,0.0000
29.63,IDLE,63.7,0.0,0.0000,0.0000
30.13,IDLE,60.5,0.0,0.0000,0.0000
30.63,IDLE,60.0,0.0,0.0000,0.0000
31.13,IDLE,63.1,0.0,0.0000,0.0000
31.63,IDLE,62.4,0.0,0.0000,0.0000
32.13,IDLE,61.5,0.0,0.0000,0.0000
32.63,IDLE,63.2,0.0,0.0000,0.0000
33.13,IDLE,62.0,0.0,0.0000,0.0000
33.63,IDLE,64.5,0.0,0.0000,0.0000
34.13,IDLE,62.5,0.0,0.0000,0.0000
34.63,IDLE,64.5,0.0,0.0000,0.0000
35.13,IDLE,63.1,0.0,0.0000,0.0000
35.63,IDLE,67.1,0.0,0.0000,0.0000
36.13,IDLE,58.8,0.0,0.0000,0.0000
36.63,IDLE,61.8,0.0,0.0000,0.0000
37.14,IDLE,65.2,0.0,0.0000,0.0000
37.63,IDLE,61.6,0.0,0.0000,0.0000
38.13,IDLE,64.9,0.0,0.0000,0.0000
38.63,IDLE,63.1,0.0,0.0000,0.0000
39.13,IDLE,61.7,0.0,0.3000,-2.3915
39.63,IDLE,65.1,0.0,0.3000,-2.3915
40.13,IDLE,62.7,0.0,0.3000,-2.3915
40.63,IDLE,62.5,0.0,0.3000,-2.3915
41.13,IDLE,62.0,0.0,0.3000,-2.3915
41.63,IDLE,63.2,0.0,0.3000,-2.3915
42.13,IDLE,61.1,0.0,0.3000,-2.3915
42.63,IDLE,63.4,0.0,0.3000,-2.3915
43.13,IDLE,60.7,0.0,0.3000,-2.3915
43.63,IDLE,67.0,0.0,0.3000,-2.3915
44.13,IDLE,60.5,0.0,0.3000,-2.3915
44.63,IDLE,62.5,0.0,0.0000,0.0000
45.13,IDLE,63.5,0.0,0.0000,0.0000
45.63,IDLE,63.8,0.0,0.0000,0.0000
46.13,IDLE,60.4,0.0,0.0000,0.0000
46.63,IDLE,63.8,0.0,0.0000,0.0000
47.13,IDLE,61.2,0.0,0.0000,0.0000
47.63,IDLE,64.1,0.0,0.0000,0.0000
48.13,IDLE,63.5,0.0,0.0000,0.0000
48.63,IDLE,64.4,0.0,0.0000,0.0000
49.13,IDLE,61.3,0.0,0.0000,0.0000
49.63,IDLE,64.7,0.0,0.0000,0.0000
0.29,VISUAL_HOMING,59.1,0.0,0.1272,-0.2200
0.79,VISUAL_HOMING,61.2,0.0,0.2445,0.0878
1.29,VISUAL_HOMING,61.0,0.0,0.1569,0.2581
1.79,VISUAL_HOMING,63.0,0.0,0.1194,0.3557
2.29,VISUAL_HOMING,59.5,0.0,0.0913,0.4044
2.79,VISUAL_HOMING,62.7,0.0,0.0775,0.4231
3.29,VISUAL_HOMING,59.0,0.0,0.0649,0.4831
3.79,VISUAL_HOMING,62.0,0.0,0.0550,0.5315
4.29,VISUAL_HOMING,59.4,0.0,0.0500,0.5139
4.79,VISUAL_HOMING,64.3,0.0,0.0500,0.5607
5.29,VISUAL_HOMING,61.5,0.0,0.0500,0.7199
5.79,VISUAL_HOMING,65.1,0.0,0.0500,0.8492
6.29,VISUAL_SERVO_DOCK,61.6,0.0,0.0000,0.0702
6.79,VISUAL_SERVO_DOCK,65.2,0.0,0.0000,0.0000
7.29,VISUAL_SERVO_DOCK,61.1,0.0,0.0500,0.7291
7.79,VISUAL_SERVO_DOCK,64.1,0.0,0.0500,-1.0000
8.29,VISUAL_SERVO_DOCK,61.8,0.0,0.0500,-1.0000
8.79,VISUAL_SERVO_DOCK,62.0,0.0,0.0500,-1.0000
9.29,VISUAL_SERVO_DOCK,63.5,0.0,0.0500,-1.0000
9.79,VISUAL_SERVO_DOCK,65.6,0.0,0.0500,-1.0000
10.29,VISUAL_SERVO_DOCK,61.3,0.0,0.0500,-0.5000
10.79,VISUAL_SERVO_DOCK,62.1,0.0,0.0500,0.8281
11.29,VISUAL_SERVO_DOCK,67.1,0.0,0.0500,1.0000
11.79,VISUAL_SERVO_DOCK,61.1,0.0,0.0500,1.0000
12.29,VISUAL_SERVO_DOCK,63.9,0.0,0.0500,1.0000
12.79,VISUAL_SERVO_DOCK,62.5,0.0,0.0500,0.6473
13.29,VISUAL_SERVO_DOCK,60.2,0.0,0.0500,0.5000
13.79,VISUAL_SERVO_DOCK,63.0,0.0,0.0500,0.0000
14.29,VISUAL_SERVO_DOCK,59.2,0.0,0.0500,0.0000
14.79,VISUAL_SERVO_DOCK,61.0,0.0,0.0500,0.0000
15.29,VISUAL_SERVO_DOCK,61.9,0.0,0.0500,0.0000
15.79,ABORTED,65.7,0.0,0.0000,0.0000
16.29,ABORTED,60.2,0.0,0.0000,0.0000
16.79,ABORTED,59.1,0.0,0.0000,0.0000
17.29,ABORTED,60.5,0.0,0.0000,0.0000
17.79,ABORTED,63.0,0.0,0.0000,0.0000
18.29,ABORTED,57.7,0.0,0.0000,0.0000
18.79,ABORTED,61.5,0.0,0.0000,0.0000
19.29,ABORTED,59.5,0.0,0.0000,0.0000
19.79,ABORTED,59.6,0.0,0.0000,0.0000
20.29,ABORTED,61.0,0.0,0.0000,0.0000
20.79,ABORTED,61.2,0.0,0.0000,0.0000
21.29,ABORTED,60.3,0.0,0.0000,0.0000
21.79,ABORTED,61.5,0.0,0.0000,0.0000
22.29,ABORTED,60.1,0.0,0.0000,0.0000
22.79,ABORTED,58.6,0.0,0.0000,0.0000
23.29,ABORTED,60.2,0.0,0.0000,0.0000
23.79,ABORTED,65.0,0.0,0.0000,0.0000
24.29,ABORTED,59.3,0.0,0.0000,0.0000
24.79,ABORTED,60.5,0.0,0.0000,0.0000
25.29,ABORTED,61.3,0.0,0.0000,0.0000
25.79,ABORTED,64.3,0.0,0.0000,0.0000
26.29,ABORTED,61.3,0.0,0.0000,0.0000
26.79,ABORTED,59.2,0.0,0.0000,0.0000
27.29,ABORTED,61.6,0.0,0.0000,0.0000
27.79,ABORTED,62.1,0.0,0.0000,0.0000
28.29,ABORTED,60.3,0.0,0.0000,0.0000
28.79,ABORTED,57.5,0.0,0.0000,0.0000
29.29,ABORTED,59.2,0.0,0.0000,0.0000
29.79,ABORTED,62.1,0.0,0.0000,0.0000
30.29,ABORTED,58.8,0.0,0.0000,0.0000
30.79,ABORTED,57.9,0.0,0.0000,0.0000
31.29,ABORTED,59.0,0.0,0.0000,0.0000
31.79,ABORTED,59.6,0.0,0.0000,0.0000
32.29,ABORTED,62.3,0.0,0.0000,0.0000
32.79,ABORTED,58.5,0.0,0.0000,0.0000
33.29,ABORTED,62.0,0.0,0.0000,0.0000
33.79,ABORTED,64.2,0.0,0.0000,0.0000
34.29,ABORTED,52.7,0.0,0.0000,0.0000
34.79,ABORTED,60.7,0.0,0.0000,0.0000
35.29,ABORTED,61.2,0.0,0.0000,0.0000
35.79,ABORTED,59.0,0.0,0.0000,0.0000
36.29,ABORTED,58.9,0.0,0.0000,0.0000
36.79,ABORTED,58.3,0.0,0.0000,0.0000
37.29,ABORTED,59.6,0.0,0.0000,0.0000
37.79,ABORTED,59.9,0.0,0.0000,0.0000
38.29,ABORTED,59.5,0.0,0.0000,0.0000
38.79,ABORTED,57.7,0.0,0.0000,0.0000
39.29,ABORTED,60.5,0.0,0.0000,0.0000
39.79,ABORTED,57.8,0.0,0.0000,0.0000
40.29,ABORTED,57.6,0.0,0.0000,0.0000
40.79,ABORTED,58.5,0.0,0.0000,0.0000
41.29,ABORTED,57.3,0.0,0.0000,0.0000
41.79,ABORTED,57.7,0.0,0.0000,0.0000
42.29,ABORTED,55.2,0.0,0.0000,0.0000
42.79,ABORTED,57.8,0.0,0.0000,0.0000
43.29,ABORTED,61.1,0.0,0.0000,0.0000
43.79,ABORTED,58.1,0.0,0.0000,0.0000
44.29,ABORTED,57.7,0.0,0.0000,0.0000
44.79,ABORTED,58.9,0.0,0.0000,0.0000
45.29,ABORTED,59.6,0.0,0.0000,0.0000
45.79,ABORTED,60.5,0.0,0.0000,0.0000
46.29,ABORTED,57.6,0.0,0.0000,0.0000
46.79,ABORTED,56.8,0.0,0.0000,0.0000
47.29,ABORTED,59.7,0.0,0.0000,0.0000
47.79,ABORTED,61.4,0.0,0.0000,0.0000
48.29,ABORTED,59.4,0.0,0.0000,0.0000
48.79,ABORTED,58.7,0.0,0.0000,0.0000
49.29,ABORTED,61.2,0.0,0.0000,0.0000
49.79,ABORTED,63.1,0.0,0.0000,0.0000
50.29,ABORTED,58.1,0.0,0.0000,0.0000
50.79,ABORTED,58.8,0.0,0.0000,0.0000
51.29,ABORTED,60.8,0.0,0.0000,0.0000
51.79,ABORTED,59.7,0.0,0.0000,0.0000
52.29,ABORTED,58.0,0.0,0.0000,0.0000
52.79,ABORTED,57.5,0.0,0.0000,0.0000
53.29,ABORTED,60.9,0.0,0.0000,0.0000
53.79,ABORTED,63.2,0.0,0.0000,0.0000
54.29,ABORTED,59.3,0.0,0.0000,0.0000
54.79,ABORTED,57.5,0.0,0.0000,0.0000
55.29,ABORTED,57.6,0.0,0.0000,0.0000
55.79,ABORTED,62.1,0.0,0.0000,0.0000
56.29,ABORTED,58.0,0.0,0.0000,0.0000
56.79,ABORTED,60.0,0.0,0.0000,0.0000
57.29,ABORTED,58.6,0.0,0.0000,0.0000
57.79,ABORTED,60.8,0.0,0.0000,0.0000
58.29,ABORTED,56.4,0.0,0.0000,0.0000
58.79,ABORTED,61.7,0.0,0.0000,0.0000
59.29,ABORTED,56.0,0.0,0.0000,0.0000
59.79,ABORTED,61.4,0.0,0.0000,0.0000
60.29,ABORTED,56.8,0.0,0.0000,0.0000
60.79,ABORTED,59.9,0.0,0.0000,0.0000
61.29,ABORTED,53.4,0.0,0.0000,0.0000
61.79,ABORTED,61.5,0.0,0.0000,0.0000
62.29,ABORTED,59.0,0.0,0.0000,0.0000
62.79,ABORTED,58.3,0.0,0.0000,0.0000
63.29,ABORTED,60.0,0.0,0.0000,0.0000
63.79,ABORTED,62.8,0.0,0.0000,0.0000
64.29,ABORTED,61.2,0.0,0.0000,0.0000
64.79,ABORTED,58.4,0.0,0.0000,0.0000
65.29,ABORTED,59.9,0.0,0.0000,0.0000
65.79,ABORTED,63.4,0.0,0.0000,0.0000
66.29,ABORTED,58.7,0.0,0.0000,0.0000
66.79,ABORTED,60.5,0.0,0.0000,0.0000
67.29,ABORTED,61.0,0.0,0.0000,0.0000
67.79,ABORTED,61.4,0.0,0.0000,0.0000
68.29,ABORTED,60.3,0.0,0.0000,0.0000
68.79,ABORTED,61.1,0.0,0.0000,0.0000
69.29,ABORTED,59.7,0.0,0.0000,0.0000
69.79,ABORTED,59.9,0.0,0.0000,0.0000
70.29,ABORTED,60.2,0.0,0.0000,0.0000
70.79,ABORTED,55.6,0.0,0.0000,0.0000
71.29,ABORTED,58.5,0.0,0.0000,0.0000
71.79,ABORTED,60.2,0.0,0.0000,0.0000
72.29,ABORTED,59.2,0.0,0.0000,0.0000
72.79,ABORTED,60.3,0.0,0.0000,0.0000
73.29,ABORTED,57.4,0.0,0.0000,0.0000
73.79,ABORTED,65.0,0.0,0.0000,0.0000
74.29,ABORTED,57.5,0.0,0.0000,0.0000
74.79,ABORTED,57.3,0.0,0.0000,0.0000
75.29,ABORTED,57.9,0.0,0.0000,0.0000
75.79,ABORTED,59.3,0.0,0.0000,0.0000
76.29,ABORTED,58.1,0.0,0.0000,0.0000
76.79,ABORTED,59.2,0.0,0.0000,0.0000
77.29,ABORTED,59.6,0.0,0.0000,0.0000
77.79,ABORTED,61.4,0.0,0.0000,0.0000
78.29,ABORTED,57.3,0.0,0.0000,0.0000
78.79,ABORTED,59.6,0.0,0.0000,0.0000
79.29,ABORTED,59.8,0.0,0.0000,0.0000
79.79,ABORTED,58.2,0.0,0.0000,0.0000
80.29,ABORTED,60.8,0.0,0.0000,0.0000
80.79,ABORTED,61.5,0.0,0.0000,0.0000
81.29,ABORTED,58.6,0.0,0.0000,0.0000
81.79,ABORTED,62.6,0.0,0.0000,0.0000
82.29,ABORTED,53.9,0.0,0.0000,0.0000
82.79,ABORTED,60.4,0.0,0.0000,0.0000
83.29,ABORTED,58.7,0.0,0.0000,0.0000
83.79,ABORTED,58.7,0.0,0.0000,0.0000
84.29,ABORTED,55.7,0.0,0.0000,0.0000
84.79,ABORTED,58.1,0.0,0.0000,0.0000
85.29,ABORTED,58.5,0.0,0.0000,0.0000
85.79,ABORTED,61.1,0.0,0.0000,0.0000
86.29,ABORTED,58.9,0.0,0.0000,0.0000
86.79,ABORTED,58.7,0.0,0.0000,0.0000
87.29,ABORTED,61.9,0.0,0.0000,0.0000
87.79,ABORTED,60.3,0.0,0.0000,0.0000
88.29,ABORTED,57.0,0.0,0.0000,0.0000
88.79,ABORTED,57.6,0.0,0.0000,0.0000
89.29,ABORTED,58.0,0.0,0.0000,0.0000
89.79,ABORTED,62.7,0.0,0.0000,0.0000
90.29,ABORTED,58.5,0.0,0.0000,0.0000
90.79,ABORTED,57.4,0.0,0.0000,0.0000
91.29,ABORTED,57.7,0.0,0.0000,0.0000
91.79,ABORTED,61.4,0.0,0.0000,0.0000
92.29,ABORTED,54.7,0.0,0.0000,0.0000
92.79,ABORTED,56.5,0.0,0.0000,0.0000
93.29,ABORTED,58.1,0.0,0.0000,0.0000
93.79,ABORTED,60.6,0.0,0.0000,0.0000
94.29,ABORTED,58.5,0.0,0.0000,0.0000
94.79,ABORTED,55.2,0.0,0.0000,0.0000
95.29,ABORTED,60.1,0.0,0.0000,0.0000
95.79,ABORTED,61.9,0.0,0.0000,0.0000
96.29,ABORTED,56.7,0.0,0.0000,0.0000
96.79,ABORTED,56.1,0.0,0.0000,0.0000
97.29,ABORTED,60.5,0.0,0.0000,0.0000
97.79,ABORTED,64.7,0.0,0.0000,0.0000
98.29,ABORTED,57.8,0.0,0.0000,0.0000
98.79,ABORTED,60.2,0.0,0.0000,0.0000
99.29,ABORTED,56.9,0.0,0.0000,0.0000
99.79,ABORTED,57.7,0.0,0.0000,0.0000
100.29,ABORTED,59.9,0.0,0.0000,0.0000
100.79,ABORTED,57.7,0.0,0.0000,0.0000
101.29,ABORTED,60.5,0.0,0.0000,0.0000
101.79,ABORTED,63.0,0.0,0.0000,0.0000
102.29,ABORTED,58.1,0.0,0.0000,0.0000
102.79,ABORTED,60.5,0.0,0.0000,0.0000
103.29,ABORTED,59.2,0.0,0.0000,0.0000
103.79,ABORTED,60.9,0.0,0.0000,0.0000
104.29,ABORTED,62.2,0.0,0.0000,0.0000
104.79,ABORTED,61.4,0.0,0.0000,0.0000
105.29,ABORTED,55.1,0.0,0.0000,0.0000
105.79,ABORTED,65.1,0.0,0.0000,0.0000
106.29,ABORTED,60.4,0.0,0.0000,0.0000
106.79,ABORTED,58.2,0.0,0.0000,0.0000
107.29,ABORTED,58.3,0.0,0.0000,0.0000
107.79,ABORTED,60.4,0.0,0.0000,0.0000
108.29,ABORTED,60.9,0.0,0.0000,0.0000
108.79,ABORTED,59.1,0.0,0.0000,0.0000
109.29,ABORTED,60.1,0.0,0.0000,0.0000
109.79,ABORTED,62.0,0.0,0.0000,0.0000
110.29,ABORTED,59.5,0.0,0.0000,0.0000
110.79,ABORTED,59.3,0.0,0.0000,0.0000
111.29,ABORTED,58.7,0.0,0.0000,0.0000
111.79,ABORTED,63.2,0.0,0.0000,0.0000
112.29,ABORTED,60.1,0.0,0.0000,0.0000
112.79,ABORTED,62.1,0.0,0.0000,0.0000
113.29,ABORTED,59.0,0.0,0.0000,0.0000
113.79,ABORTED,63.9,0.0,0.0000,0.0000
114.29,ABORTED,59.9,0.0,0.0000,0.0000
114.79,ABORTED,60.9,0.0,0.0000,0.0000
115.29,ABORTED,59.8,0.0,0.0000,0.0000
115.79,ABORTED,63.9,0.0,0.0000,0.0000
116.29,ABORTED,62.2,0.0,0.0000,0.0000
116.79,ABORTED,60.3,0.0,0.0000,0.0000
117.29,ABORTED,63.3,0.0,0.0000,0.0000
117.79,ABORTED,61.3,0.0,0.0000,0.0000
118.29,ABORTED,59.8,0.0,0.0000,0.0000
118.79,ABORTED,61.1,0.0,0.0000,0.0000
119.29,ABORTED,64.3,0.0,0.0000,0.0000
119.79,ABORTED,62.4,0.0,0.0000,0.0000
120.29,ABORTED,64.5,0.0,0.0000,0.0000
120.79,ABORTED,62.3,0.0,0.0000,0.0000
121.29,ABORTED,62.2,0.0,0.0000,0.0000
121.79,ABORTED,65.9,0.0,0.0000,0.0000
122.29,ABORTED,60.9,0.0,0.0000,0.0000
122.79,ABORTED,61.4,0.0,0.0000,0.0000
123.29,ABORTED,64.8,0.0,0.0000,0.0000
123.79,ABORTED,61.5,0.0,0.0000,0.0000
124.29,ABORTED,63.6,0.0,0.0000,0.0000
124.79,ABORTED,59.4,0.0,0.0000,0.0000
125.29,ABORTED,64.4,0.0,0.0000,0.0000
125.79,ABORTED,63.1,0.0,0.0000,0.0000
126.29,ABORTED,63.9,0.0,0.0000,0.0000
126.79,ABORTED,62.0,0.0,0.0000,0.0000
127.29,ABORTED,61.7,0.0,0.0000,0.0000
127.79,ABORTED,62.8,0.0,0.0000,0.0000
128.29,ABORTED,62.2,0.0,0.0000,0.0000
128.79,ABORTED,61.6,0.0,0.0000,0.0000
129.29,ABORTED,60.1,0.0,0.0000,0.0000
129.79,ABORTED,65.3,0.0,0.0000,0.0000
130.29,ABORTED,63.1,0.0,0.0000,0.0000
130.79,ABORTED,60.6,0.0,0.0000,0.0000
131.29,ABORTED,61.6,0.0,0.0000,0.0000
131.79,ABORTED,61.5,0.0,0.0000,0.0000
132.29,ABORTED,59.0,0.0,0.0000,0.0000
132.79,ABORTED,62.4,0.0,0.0000,0.0000
133.29,ABORTED,62.1,0.0,0.0000,0.0000
133.79,ABORTED,64.5,0.0,0.0000,0.0000
134.29,ABORTED,59.4,0.0,0.0000,0.0000
134.79,ABORTED,58.4,0.0,0.0000,0.0000
135.29,ABORTED,58.8,0.0,0.0000,0.0000
135.79,ABORTED,63.2,0.0,0.0000,0.0000
136.29,ABORTED,59.7,0.0,0.0000,0.0000
136.79,ABORTED,63.9,0.0,0.0000,0.0000
137.29,ABORTED,65.9,0.0,0.0000,0.0000
137.79,ABORTED,64.6,0.0,0.0000,0.0000
138.29,ABORTED,59.3,0.0,0.0000,0.0000
138.79,ABORTED,61.6,0.0,0.0000,0.0000
139.29,ABORTED,63.1,0.0,0.0000,0.0000
139.79,ABORTED,62.4,0.0,0.0000,0.0000
140.29,ABORTED,59.4,0.0,0.0000,0.0000
140.79,ABORTED,61.9,0.0,0.0000,0.0000
141.29,ABORTED,61.3,0.0,0.0000,0.0000
141.79,ABORTED,64.3,0.0,0.0000,0.0000
142.29,ABORTED,61.5,0.0,0.0000,0.0000
142.79,ABORTED,61.2,0.0,0.0000,0.0000
143.29,ABORTED,64.8,0.0,0.0000,0.0000
143.79,ABORTED,64.6,0.0,0.0000,0.0000
144.29,ABORTED,63.0,0.0,0.0000,0.0000
144.79,ABORTED,63.8,0.0,0.0000,0.0000
145.29,ABORTED,61.9,0.0,0.0000,0.0000
145.79,ABORTED,65.8,0.0,0.0000,0.0000
146.29,ABORTED,60.4,0.0,0.0000,0.0000
146.79,ABORTED,62.7,0.0,0.0000,0.0000
147.29,ABORTED,62.0,0.0,0.0000,0.0000
147.79,ABORTED,64.2,0.0,0.0000,0.0000
148.29,ABORTED,60.2,0.0,0.0000,0.0000
148.79,ABORTED,63.2,0.0,0.0000,0.0000
149.29,ABORTED,60.6,0.0,0.0000,0.0000
149.79,ABORTED,64.4,0.0,0.0000,0.0000
150.29,ABORTED,58.7,0.0,0.0000,0.0000
150.79,ABORTED,65.2,0.0,0.0000,0.0000
151.29,ABORTED,62.9,0.0,0.0000,0.0000
151.79,ABORTED,64.3,0.0,0.0000,0.0000
152.29,ABORTED,63.4,0.0,0.0000,0.0000
152.79,ABORTED,65.7,0.0,0.0000,0.0000
153.29,ABORTED,59.9,0.0,0.0000,0.0000
153.79,ABORTED,65.0,0.0,0.0000,0.0000
154.29,ABORTED,63.3,0.0,0.0000,0.0000
154.79,ABORTED,63.1,0.0,0.0000,0.0000
155.29,ABORTED,63.1,0.0,0.0000,0.0000
155.79,ABORTED,62.2,0.0,0.0000,0.0000
156.29,ABORTED,62.2,0.0,0.0000,0.0000
156.79,ABORTED,63.6,0.0,0.0000,0.0000
157.29,ABORTED,64.7,0.0,0.0000,0.0000
157.79,ABORTED,62.1,0.0,0.0000,0.0000
158.29,ABORTED,58.8,0.0,0.0000,0.0000
158.79,ABORTED,62.8,0.0,0.0000,0.0000
159.29,ABORTED,61.4,0.0,0.0000,0.0000
159.79,ABORTED,65.2,0.0,0.0000,0.0000
160.29,ABORTED,61.3,0.0,0.0000,0.0000
160.79,ABORTED,63.7,0.0,0.0000,0.0000
161.29,ABORTED,59.1,0.0,0.0000,0.0000
161.79,ABORTED,67.4,0.0,0.0000,0.0000
162.29,ABORTED,59.8,0.0,0.0000,0.0000
162.79,ABORTED,63.8,0.0,0.0000,0.0000
163.29,ABORTED,56.3,0.0,0.0000,0.0000
163.79,ABORTED,62.2,0.0,0.0000,0.0000
164.29,ABORTED,59.1,0.0,0.0000,0.0000
164.79,ABORTED,59.2,0.0,0.0000,0.0000
